学生姓名,生源地,毕业去向,就业单位名称/征兵办名称/项目名称/创业单位名称/升学院校名称/境外单位名称,单位/征兵办/项目/院校所属地区,单位/征兵办/项目/院校所属地区.1,岗位名称/专业名称/工作内容,职业类型,薪酬,签约时间/入伍时间/创业时间/就业时间/入学、入职时间,专业与就业相关度,院系,专业名称,学历
,广东省广州市从化区,待就业,,,,,,,,,学前教育学院,学前教育-2年制,专科
,广东省佛山市顺德区,其他录用形式就业,佛山市顺德区翼狮汽车用品实业有限公司,广东省佛山市顺德区,广东省佛山市顺德区,普通生产工,其他人员,4000.0,2021-03-08,不匹配,信息学院,计算机应用技术（云计算运维）-2年制,专科
,广西壮族自治区南宁市横县,签劳动合同形式就业,深圳市千动文化传播有限公司,广东省深圳市福田区,广东省深圳市福田区,技术员,其他专业技术人员,8000.0,2021-08-04,匹配,艺术设计学院,艺术设计-2年制,专科
,广东省惠州市龙门县,签就业协议形式就业,广东泓行教育有限公司,广东省广州市番禺区,广东省广州市番禺区,钢琴教师,教学人员,2000.0,2021-01-17,比较匹配,学前教育学院,学前教育-2年制,专科
,广东省广州市,签劳动合同形式就业,广州市越秀区小云雀艺术幼儿园,广东省广州市越秀区,广东省广州市越秀区,副班,教学人员,2800.0,2021-02-23,很匹配,学前教育学院,学前教育-2年制,专科
,广东省揭阳市揭西县,其他录用形式就业,揭西县棉湖中学实验学校,广东省揭阳市揭西县,广东省揭阳市揭西县,小学老师,教学人员,4000.0,2021-09-01,很匹配,学前教育学院,学前教育-2年制,专科
,广东省汕头市潮阳区,签就业协议形式就业,广州沃欧电子科技有限公司,广东省广州市南沙区,广东省广州市南沙区,外贸业务员,其他人员,3800.0,2021-03-09,很匹配,外语外贸学院,商务英语,专科
,广东省佛山市,自由职业,,广东省佛山市南海区,广东省佛山市南海区,辅导工作,教学人员,3300.0,2021-02-26,匹配,基础教育学院,英语教育-5年制,专科
,广西壮族自治区桂林市七星区,签就业协议形式就业,广东华潮文化传播有限公司,广东省广州市番禺区,广东省广州市番禺区,销售推广,文学艺术工作人员,7000.0,2021-03-03,一般匹配,艺术教育学院,舞蹈教育-5年制,专科
,广东省湛江市坡头区,签劳动合同形式就业,广州含蕴艺术教育咨询有限公司,广东省广州市天河区,广东省广州市天河区,美术教师,教学人员,2100.0,2021-03-12,一般匹配,艺术设计学院,产品艺术设计,专科
,广东省肇庆市广宁县,境内升学,韩山师范学院,广东省潮州市,广东省潮州市,音乐表演,其他人员,,2021-09-01,,音乐舞蹈学院,表演艺术,专科
,广东省江门市恩平市,其他录用形式就业,恩平市音汇乐电声器材厂,广东省恩平市,广东省恩平市,电子外观产品设计,其他人员,3000.0,2021-03-15,比较匹配,艺术设计学院,产品艺术设计,专科
,广东省梅州市兴宁市,其他录用形式就业,广州爽趣电子有限公司,广东省广州市番禺区,广东省广州市番禺区,外贸业务员,经济业务人员,4500.0,2021-11-23,比较匹配,外语外贸学院,应用英语,专科
,广东省广州市南沙区,签就业协议形式就业,广州敏龙科技有限公司,广东省广州市白云区,广东省广州市白云区,岗位运营,商业和服务业人员,4000.0,2021-03-01,一般匹配,外语外贸学院,商务日语,专科
,广东省肇庆市四会市,签劳动合同形式就业,肇庆习思堂课外教育有限公司,广东省四会市,广东省四会市,小学英语老师,教学人员,4000.0,2021-06-29,一般匹配,外语外贸学院,旅游英语,专科
,广东省广州市黄埔区,其他录用形式就业,广州星途启星科教传媒有限公司,广东省广州市天河区,广东省广州市天河区,媒介,其他人员,5000.0,2021-02-02,一般匹配,信息学院,数字媒体应用技术,专科
,广东省茂名市高州市,境内升学,华南农业大学珠江学院,广东省广州市从化区,广东省广州市从化区,汉语言文学,其他人员,,2021-08-26,,基础教育学院,语文教育,专科
,广东省湛江市遂溪县,其他录用形式就业,遂溪县遂城第一小学,广东省湛江市遂溪县,广东省湛江市遂溪县,教师,教学人员,3000.0,2021-02-22,匹配,基础教育学院,语文教育,专科
,广东省韶关市始兴县,其他录用形式就业,广州古藤动漫科技有限公司,广东省广州市天河区,广东省广州市天河区,游戏ui,其他人员,2100.0,2021-04-20,不匹配,艺术设计学院,影视动画,专科
,广东省茂名市化州市,签就业协议形式就业,广东创途科技有限公司,广东省广州市天河区,广东省广州市天河区,运营,其他人员,5400.0,2021-04-12,匹配,公共管理学院,文秘,专科
,广东省云浮市罗定市,签劳动合同形式就业,广东博美门窗有限公司,广东省佛山市禅城区,广东省佛山市禅城区,外贸业务员,商业和服务业人员,3500.0,2020-12-21,匹配,外语外贸学院,商务英语,专科
,广东省梅州市兴宁市,境内升学,广州理工学院,广东省广州市白云区,广东省广州市白云区,英语,其他人员,,2021-08-28,,外语外贸学院,应用英语,专科
,江西省赣州市章贡区,签劳动合同形式就业,赣州精科机电设备工贸有限公司,江西省赣州市章贡区,江西省赣州市章贡区,销售部业务经理,工程技术人员,2500.0,2021-03-20,不匹配,艺术设计学院,产品艺术设计,专科
,广东省广州市增城区,其他录用形式就业,广州市南汉艺术教育有限公司,广东省广州市增城区,广东省广州市增城区,助教,教学人员,3000.0,2021-04-13,很匹配,信息学院,现代教育技术,专科
,广东省韶关市翁源县,签劳动合同形式就业,广州高瞻教育信息咨询服务有限公司,广东省广州市白云区,广东省广州市白云区,托管老师,教学人员,3000.0,2021-08-10,匹配,信息学院,现代教育技术,专科
,广东省广州市南沙区,境内升学,广东技术师范大学,广东省广州市白云区,广东省广州市白云区,学前教育,其他人员,,2021-08-28,,学前教育学院,学前教育,专科
,广东省揭阳市普宁市,境内升学,广东技术师范大学,广东省广州市白云区,广东省广州市白云区,学前教育专业,其他人员,,2021-08-26,,学前教育学院,学前教育,专科
,广东省惠州市惠城区,其他录用形式就业,惠州市浩亚丰实业有限公司,广东省惠州市惠城区,广东省惠州市惠城区,员工,其他人员,2000.0,2021-02-28,匹配,学前教育学院,早期教育,专科
,广东省揭阳市揭东区,签劳动合同形式就业,广州市赋安电子科技有限公司,广东省广州市天河区,广东省广州市天河区,行政助理兼前台,其他人员,4000.0,2020-11-13,匹配,公共管理学院,文秘,专科
,广东省阳江市阳春市,境内升学,广东技术师范大学,广东省广州市天河区,广东省广州市天河区,学前教育,其他人员,,2021-09-01,,学前教育学院,学前教育,专科
,广东省揭阳市普宁市,自由职业,,广东省广州市白云区,广东省广州市白云区,钢琴教学,教学人员,7000.0,2021-07-10,一般匹配,音乐舞蹈学院,舞蹈表演,专科
,广东省肇庆市广宁县,签劳动合同形式就业,广州市白云区新苗小学,广东省广州市白云区,广东省广州市白云区,教师,教学人员,3000.0,2021-02-28,匹配,音乐舞蹈学院,表演艺术,专科
,广东省河源市和平县,其他录用形式就业,广州本一工艺品有限公司,广东省广州市番禺区,广东省广州市番禺区,装饰画绘画师,其他人员,3500.0,2021-04-20,比较匹配,艺术设计学院,产品艺术设计,专科
,广东省潮州市潮安区,境内升学,广东技术师范大学,广东省广州市白云区,广东省广州市白云区,学前教育,其他人员,,2021-08-28,,学前教育学院,学前教育,专科
,广东省广州市海珠区,境内升学,广东技术师范大学,广东省广州市天河区,广东省广州市天河区,学前教育,其他人员,,2021-09-01,,学前教育学院,学前教育,专科
,广东省河源市连平县,签劳动合同形式就业,广州市常脉贸易有限公司,广东省广州市天河区,广东省广州市天河区,亚马逊电商运营,其他专业技术人员,4000.0,2021-05-25,比较匹配,外语外贸学院,应用英语,专科
,广东省广州市白云区,其他录用形式就业,广州市妆彩化妆品有限公司,广东省广州市白云区,广东省广州市白云区,业务专员,其他人员,4000.0,2021-08-27,匹配,外语外贸学院,商务日语,专科
,广东省汕头市金平区,签就业协议形式就业,汕头市龙湖宾馆有限公司,广东省汕头市龙湖区,广东省汕头市龙湖区,人事助理,其他专业技术人员,2500.0,2020-12-31,比较匹配,公共管理学院,人力资源管理,专科
,广东省梅州市五华县,境内升学,广东第二师范学院,广东省广州市海珠区,广东省广州市海珠区,学前教育,其他人员,,2021-09-04,,学前教育学院,学前教育-2年制,专科
,广东省揭阳市惠来县,其他录用形式就业,广州伯美实业有限公司,广东省广州市白云区,广东省广州市白云区,设计师模特,其他人员,4700.0,2021-03-01,不匹配,基础教育学院,英语教育-5年制,专科
,广东省揭阳市普宁市,签就业协议形式就业,普宁市军埠镇燕英小学,广东省普宁市,广东省普宁市,小学英语实习老师,教学人员,3000.0,2021-02-23,匹配,基础教育学院,英语教育-5年制,专科
,广东省肇庆市德庆县,其他录用形式就业,广州灵感之茶餐饮管理有限公司之粤垦路分店,广东省广州市天河区,广东省广州市天河区,营运管培生二阶,其他人员,3000.0,2020-11-13,不匹配,音乐舞蹈学院,表演艺术,专科
,广东省汕尾市陆丰市,签就业协议形式就业,佛山市麒麟药业有限公司,广东省佛山市南海区,广东省佛山市南海区,销售员,其他人员,2500.0,2021-03-01,一般匹配,学前教育学院,早期教育,专科
,广东省佛山市顺德区,其他录用形式就业,泉州帮手用网络技术有限公司,广东省佛山市顺德区,广东省佛山市顺德区,美团配送,商业和服务业人员,5000.0,2021-03-03,不匹配,外语外贸学院,商务日语,专科
,广东省江门市台山市,签劳动合同形式就业,广州卓术信息科技有限公司,广东省广州市天河区,广东省广州市天河区,产品助理,其他人员,5000.0,2021-07-07,不匹配,外语外贸学院,商务英语,专科
,广东省汕尾市海丰县,签就业协议形式就业,广东省农业科学院幼儿园,广东省广州市天河区,广东省广州市天河区,教学岗位,教学人员,2800.0,2021-05-20,很匹配,学前教育学院,学前教育-2年制,专科
,广东省广州市荔湾区,境内升学,广州工商学院,广东省广州市花都区,广东省广州市花都区,商务英语,其他人员,,2021-09-01,,外语外贸学院,商务英语,专科
,广东省清远市,其他录用形式就业,广州市荔湾区白鹤幼儿园,广东省广州市荔湾区,广东省广州市荔湾区,副班老师,教学人员,3400.0,2021-03-18,匹配,学前教育学院,学前教育-2年制,专科
,广东省汕头市,境内升学,广东第二师范学院,广东省广州市海珠区,广东省广州市海珠区,学前教育,其他人员,,2021-09-04,,学前教育学院,学前教育-2年制,专科
,广东省梅州市五华县,签就业协议形式就业,深圳市南山区车洁屋汽车服务中心,广东省深圳市南山区,广东省深圳市南山区,深圳市南山区车洁屋汽车美容中心,商业和服务业人员,4000.0,2021-03-15,不匹配,基础教育学院,英语教育-5年制,专科
,广东省佛山市,其他录用形式就业,广州市白云区乐林琴行经营部（普通合伙）,广东省广州市白云区,广东省广州市白云区,教师,教学人员,2000.0,2021-03-05,不匹配,音乐舞蹈学院,表演艺术-5年制,专科
,广东省佛山市顺德区,境内升学,广州华立学院,广东省广州市增城区,广东省广州市增城区,环境设计,其他人员,,2021-09-01,,艺术设计学院,影视动画-2年制,专科
,广东省揭阳市普宁市,签劳动合同形式就业,吉田拉链有限公司,广东省广州市天河区,广东省广州市天河区,订单管理员,其他人员,4500.0,2021-03-08,不匹配,基础教育学院,英语教育-5年制,专科
,广东省云浮市,境内升学,广州华商学院,广东省广州市增城区,广东省广州市增城区,学前教育,其他人员,,2021-09-01,,学前教育学院,学前教育-2年制,专科
,广东省梅州市丰顺县,其他录用形式就业,珠海市香洲汇鑫消防器材经营部,广东省珠海市香洲区,广东省珠海市香洲区,产品设计,其他人员,3000.0,2021-03-08,一般匹配,信息学院,数字媒体应用技术-2年制,专科
,广东省广州市荔湾区,签劳动合同形式就业,广州视可佳眼科门诊部有限公司,广东省广州市越秀区,广东省广州市越秀区,摄像师,其他人员,5000.0,2021-08-22,比较匹配,信息学院,数字媒体应用技术-2年制,专科
,广东省揭阳市惠来县,其他录用形式就业,惠来县神泉镇华埔小学,广东省揭阳市惠来县,广东省揭阳市惠来县,小学教师,教学人员,4000.0,2021-02-22,很匹配,基础教育学院,英语教育-5年制,专科
,广东省韶关市新丰县,签就业协议形式就业,广州市白云区南湖外语艺术幼儿园,广东省广州市白云区,广东省广州市白云区,幼儿教师,教学人员,4500.0,2021-02-19,匹配,学前教育学院,学前教育-2年制,专科
,广东省茂名市化州市,境内升学,广东第二师范学院,广东省广州市海珠区,广东省广州市海珠区,学前教育,其他人员,,2021-09-04,,学前教育学院,学前教育-2年制,专科
,广东省梅州市五华县,签就业协议形式就业,广州市逸谭服饰有限公司,广东省广州市越秀区,广东省广州市越秀区,跟单文员,其他人员,3000.0,2020-11-09,匹配,外语外贸学院,电子商务,专科
,广东省揭阳市,其他录用形式就业,广州优品优学教育咨询有限公司,广东省广州市白云区,广东省广州市白云区,托管老师,教学人员,3500.0,2021-04-19,匹配,基础教育学院,语文教育,专科
,广东省湛江市遂溪县,签劳动合同形式就业,四川华世创美网络科技有限公司广州分公司,广东省广州市番禺区,广东省广州市番禺区,前端开发,其他专业技术人员,3000.0,2021-07-29,匹配,信息学院,计算机应用技术移动应用方向（现代学徒制）,专科
,广东省潮州市饶平县,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,音乐表演,其他人员,,2021-09-01,,音乐舞蹈学院,表演艺术,专科
,广东省揭阳市普宁市,其他录用形式就业,黄贞林,广东省广州市,广东省广州市,销售,商业和服务业人员,4000.0,2021-04-27,不匹配,信息学院,计算机应用技术（网络）,专科
,广东省茂名市高州市,境内升学,广东工商职业技术大学,广东省肇庆市端州区,广东省肇庆市端州区,现代物流管理,其他人员,,2021-09-12,,公共管理学院,文秘,专科
,广东省茂名市化州市,签就业协议形式就业,广州慕可生物科技有限公司,广东省广州市黄埔区,广东省广州市黄埔区,招聘专员,商业和服务业人员,3200.0,2021-03-25,不匹配,外语外贸学院,商务日语,专科
,广东省东莞市,境内升学,广州新华学院,广东省广州市,广东省广州市,商务英语,其他人员,,2021-08-28,,基础教育学院,英语教育,专科
,广东省揭阳市榕城区,其他录用形式就业,广州动境教育培训有限公司,广东省广州市海珠区,广东省广州市海珠区,助教,教学人员,3000.0,2021-03-01,匹配,艺术设计学院,影视动画,专科
,广东省广州市荔湾区,境内升学,珠海科技学院,广东省珠海市金湾区,广东省珠海市金湾区,行政管理,其他人员,,2021-09-04,,学前教育学院,早期教育,专科
,广西壮族自治区南宁市西乡塘区,签劳动合同形式就业,广东省白云人才发展有限公司,广东省广州市,广东省广州市,党建宣传岗,文学艺术工作人员,4000.0,2021-07-25,不匹配,信息学院,数字媒体应用技术-2年制,专科
,广东省广州市花都区,签就业协议形式就业,广州翰墨教育咨询服务有限公司,广东省广州市天河区,广东省广州市天河区,运营,其他人员,3000.0,2020-11-13,一般匹配,公共管理学院,文秘,专科
,广东省湛江市麻章区,签劳动合同形式就业,广州市月下笛珠宝有限公司,广东省广州市荔湾区,广东省广州市荔湾区,手绘师,其他人员,3000.0,2021-08-05,比较匹配,艺术设计学院,艺术设计,专科
,广东省中山市,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,英语（师范）,其他人员,,2021-09-01,,基础教育学院,英语教育,专科
,广东省东莞市,其他录用形式就业,东莞市市场监督管理局望牛墩分局,广东省东莞市,广东省东莞市,办公室助理,其他人员,2300.0,2020-12-16,一般匹配,外语外贸学院,应用英语,专科
,广东省清远市清新区,境内升学,广州新华学院,广东省广州市,广东省广州市,英语,其他人员,,2021-08-28,,基础教育学院,英语教育,专科
,广东省东莞市,境内升学,珠海科技学院,广东省珠海市金湾区,广东省珠海市金湾区,行政管理,其他人员,,2021-09-04,,外语外贸学院,电子商务,专科
,广东省广州市白云区,境内升学,广州工商学院,广东省广州市花都区,广东省广州市花都区,电子商务,其他人员,,2021-08-28,,外语外贸学院,商务日语,专科
,广东省江门市开平市,其他录用形式就业,开平市三埠金徽酒店,广东省开平市,广东省开平市,前台,商业和服务业人员,3000.0,2021-03-17,不匹配,艺术教育学院,音乐教育,专科
,广东省韶关市翁源县,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,英语教育,其他人员,,2021-08-31,,基础教育学院,英语教育,专科
,广东省佛山市,签就业协议形式就业,佛山市高明区荷城荣华胶辊厂,广东省佛山市高明区,广东省佛山市高明区,文员,其他人员,2500.0,2020-12-15,一般匹配,外语外贸学院,国际贸易实务,专科
,广东省中山市,境内升学,广东第二师范学院,广东省广州市海珠区,广东省广州市海珠区,音乐学（师范）,其他人员,,2021-09-04,,艺术教育学院,音乐教育,专科
,广东省湛江市吴川市,签劳动合同形式就业,江门市飘虫信息科技有限公司,广东省江门市蓬江区,广东省江门市蓬江区,信息采集员,其他专业技术人员,4500.0,2021-04-20,一般匹配,外语外贸学院,国际贸易实务,专科
,广东省广州市番禺区,签劳动合同形式就业,广州视源电子科技股份有限公司,广东省广州市黄埔区,广东省广州市黄埔区,技术服务支持顾问,其他专业技术人员,3000.0,2021-07-01,一般匹配,信息学院,计算机应用技术（云计算运维）,专科
,广东省珠海市斗门区,签劳动合同形式就业,东莞市虎门原色艺术培训中心有限公司,广东省东莞市,广东省东莞市,美术老师,教学人员,3500.0,2021-06-01,一般匹配,艺术设计学院,玉器设计与工艺,专科
,广东省河源市东源县,自由职业,,广东省四会市,广东省四会市,软件制作,其他人员,6000.0,2021-06-20,匹配,艺术设计学院,玉器设计与工艺,专科
,广东省汕头市潮南区,签劳动合同形式就业,创想时代（广州）文化传媒有限公司,广东省广州市天河区,广东省广州市天河区,运营助理,其他人员,3000.0,2020-12-07,一般匹配,外语外贸学院,电子商务,专科
,广东省揭阳市惠来县,签劳动合同形式就业,广州柒城壹兵文化创意有限公司,广东省广州市天河区,广东省广州市天河区,店员,商业和服务业人员,3300.0,2020-12-08,一般匹配,外语外贸学院,应用韩语,专科
,广东省湛江市廉江市,境内升学,广东科技学院,广东省东莞市,广东省东莞市,视觉传达设计,其他人员,,2021-09-01,,艺术教育学院,美术教育,专科
,广东省江门市开平市,其他录用形式就业,杭州左言文化传媒有限公司,浙江省杭州市拱墅区,浙江省杭州市拱墅区,摄影助理,文学艺术工作人员,3000.0,2021-04-19,匹配,艺术设计学院,产品艺术设计,专科
,广东省湛江市雷州市,签就业协议形式就业,广州市创锋电子商务有限公司,广东省广州市花都区,广东省广州市花都区,运营助理,其他人员,3500.0,2021-03-10,比较匹配,外语外贸学院,国际贸易实务,专科
,广东省汕头市,签劳动合同形式就业,广州骏雅教育科技有限公司,广东省广州市越秀区,广东省广州市越秀区,招生老师,商业和服务业人员,4000.0,2021-04-02,一般匹配,外语外贸学院,应用英语,专科
,广东省汕尾市陆丰市,境内升学,广州新华学院,广东省广州市,广东省广州市,商务英语,其他人员,,2021-08-28,,外语外贸学院,旅游英语,专科
,广东省中山市,自主创业,绿洋名龟盆景园,广东省中山市,广东省中山市,,文学艺术工作人员,4000.0,2021-10-13,比较匹配,艺术设计学院,产品艺术设计,专科
,广东省肇庆市,其他录用形式就业,广东省安全生产技术中心有限公司,广东省广州市天河区,广东省广州市天河区,文员,其他人员,3000.0,2021-05-06,一般匹配,外语外贸学院,旅游英语,专科
,广东省湛江市徐闻县,其他录用形式就业,广州小树苗艺术中心有限公司,广东省广州市白云区,广东省广州市白云区,钢琴老师,教学人员,6000.0,2021-03-01,匹配,艺术教育学院,音乐教育,专科
,广东省韶关市新丰县,签劳动合同形式就业,广东正皓茶业有限公司,广东省广州市荔湾区,广东省广州市荔湾区,手绘插画设计,文学艺术工作人员,4200.0,2021-06-21,匹配,艺术设计学院,艺术设计,专科
,广东省揭阳市揭西县,境内升学,广东第二师范学院,广东省广州市海珠区,广东省广州市海珠区,英语（师范）,其他人员,,2021-09-04,,基础教育学院,英语教育,专科
,广东省揭阳市惠来县,其他录用形式就业,广州敏然教育信息咨询有限公司,广东省广州市白云区,广东省广州市白云区,敏然艺术培训中心,教学人员,6000.0,2021-03-06,匹配,艺术教育学院,舞蹈教育,专科
,广东省揭阳市惠来县,境内升学,广州理工学院,广东省广州市白云区,广东省广州市白云区,电子商务,其他人员,,2021-08-28,,信息学院,数字展示技术,专科
,广东省揭阳市,自由职业,,广东省广州市番禺区,广东省广州市番禺区,家教,教学人员,4000.0,2021-08-25,一般匹配,公共管理学院,人力资源管理,专科
,广东省汕尾市城区,签劳动合同形式就业,广州悦乐体育文化传播有限公司,广东省广州市天河区,广东省广州市天河区,行政助理,其他人员,3400.0,2021-06-14,比较匹配,公共管理学院,人力资源管理,专科
,江西省新余市渝水区,境内升学,广州商学院,广东省广州市黄埔区,广东省广州市黄埔区,英语,其他人员,,2021-09-25,,基础教育学院,英语教育,专科
,广东省茂名市茂南区,其他录用形式就业,广州芭芭拉教育投资有限公司,广东省广州市白云区,广东省广州市白云区,舞蹈教师,教学人员,5000.0,2021-02-21,不匹配,艺术教育学院,舞蹈教育,专科
,广东省汕尾市海丰县,其他录用形式就业,广州市天河区林和太燃饮食店,广东省广州市天河区,广东省广州市天河区,服务员,商业和服务业人员,3800.0,2021-01-08,一般匹配,外语外贸学院,商务日语,专科
,广东省汕尾市陆丰市,签就业协议形式就业,广州滑启体育用品有限公司,广东省广州市南沙区,广东省广州市南沙区,市场运营,教学人员,4000.0,2021-03-01,比较匹配,学前教育学院,早期教育,专科
,广东省江门市开平市,签劳动合同形式就业,广州正德服饰有限公司,广东省广州市越秀区,广东省广州市越秀区,行政助理,其他人员,3400.0,2021-03-31,一般匹配,基础教育学院,语文教育,专科
,广东省梅州市丰顺县,签就业协议形式就业,广州谷胜美发用品有限公司,广东省广州市白云区,广东省广州市白云区,外贸业务员,经济业务人员,3800.0,2021-03-09,一般匹配,外语外贸学院,旅游英语,专科
,广东省茂名市电白区,境内升学,广东技术师范大学,广东省广州市白云区,广东省广州市白云区,学前教育,其他人员,,2021-08-28,,学前教育学院,学前教育,专科
,广东省揭阳市揭西县,签劳动合同形式就业,广州市中恒行汽车配件有限公司,广东省广州市越秀区,广东省广州市越秀区,外贸业务员,商业和服务业人员,3800.0,2021-07-01,一般匹配,外语外贸学院,商务英语,专科
,广东省惠州市博罗县,境内升学,广东工商职业技术大学,广东省肇庆市端州区,广东省肇庆市端州区,学前教育,其他人员,,2021-09-12,,学前教育学院,早期教育,专科
,广东省湛江市霞山区,境内升学,广州应用科技学院,广东省广州市增城区,广东省广州市增城区,美术学,其他人员,,2021-09-01,,艺术教育学院,美术教育,专科
,广东省揭阳市普宁市,待就业,,,,,,,,,信息学院,计算机应用技术（云计算运维）,专科
,广东省揭阳市榕城区,待就业,,,,,,,,,外语外贸学院,商务日语,专科
,广东省茂名市,签劳动合同形式就业,广州市荣谭永餐饮有限公司,广东省广州市天河区,广东省广州市天河区,咨客,商业和服务业人员,4000.0,2021-03-16,一般匹配,外语外贸学院,旅游英语,专科
,广东省潮州市,境内升学,湛江科技学院,广东省湛江市麻章区,广东省湛江市麻章区,英语,其他人员,,2021-09-04,,外语外贸学院,旅游英语,专科
,广东省河源市龙川县,签就业协议形式就业,深圳市南博旺科技有限公司,广东省深圳市福田区,广东省深圳市福田区,行政助理,其他人员,4000.0,2020-01-20,一般匹配,公共管理学院,文秘,专科
,广东省茂名市,签就业协议形式就业,广州市华源酒店有限公司,广东省广州市增城区,广东省广州市增城区,前厅部助理,其他人员,2900.0,2020-09-05,匹配,外语外贸学院,旅游英语,专科
,广东省揭阳市普宁市,其他录用形式就业,普宁市燎原街道泥沟初级中学,广东省普宁市,广东省普宁市,教师,教学人员,4000.0,2021-03-20,匹配,基础教育学院,英语教育-5年制,专科
,广东省珠海市斗门区,境内升学,广东科技学院,广东省东莞市,广东省东莞市,视觉设计,其他人员,,2021-09-12,,艺术设计学院,影视动画-2年制,专科
,广东省肇庆市广宁县,签就业协议形式就业,佛山市思孚欧文化传播有限公司,广东省佛山市禅城区,广东省佛山市禅城区,教师,教学人员,3000.0,2021-03-01,匹配,学前教育学院,学前教育-2年制,专科
,广东省江门市新会区,自由职业,,广东省江门市新会区,广东省江门市新会区,家教,其他人员,3000.0,2021-07-26,一般匹配,音乐舞蹈学院,舞蹈表演,专科
,广东省汕头市濠江区,境内升学,广东第二师范学院,广东省广州市花都区,广东省广州市花都区,行政管理,其他人员,,2021-09-04,,外语外贸学院,国际贸易实务,专科
,广东省河源市龙川县,其他录用形式就业,深圳市智聘网络科技有限公司,广东省深圳市龙岗区,广东省深圳市龙岗区,招聘专员,其他人员,3500.0,2021-05-03,不匹配,外语外贸学院,应用韩语,专科
,广东省广州市白云区,签劳动合同形式就业,广州市海社联劳务有限公司,广东省广州市海珠区,广东省广州市海珠区,派遣到校的教师,教学人员,3000.0,2021-09-01,匹配,基础教育学院,小学教育,专科
,广东省湛江市徐闻县,签劳动合同形式就业,佛山市南海区潘悦华悦声琴行,广东省佛山市南海区,广东省佛山市南海区,老师,教学人员,3000.0,2021-02-19,很匹配,学前教育学院,学前教育-2年制,专科
,江西省赣州市,签就业协议形式就业,佛山市艺之舞艺术培训有限公司,广东省佛山市顺德区,广东省佛山市顺德区,舞蹈老师,教学人员,3000.0,2021-03-01,很匹配,学前教育学院,学前教育-2年制,专科
,广东省茂名市电白区,签劳动合同形式就业,深圳市中装建设集团股份有限公司,广东省深圳市光明区,广东省深圳市光明区,资料员,其他人员,4000.0,2021-08-13,不匹配,艺术设计学院,艺术设计-2年制,专科
,广东省汕尾市陆丰市,其他录用形式就业,佛山市顺德区乐从镇林代五金经营部,广东省佛山市顺德区,广东省佛山市顺德区,电商运维工程师,其他人员,2500.0,2021-03-08,很匹配,信息学院,计算机应用技术（云计算运维）-2年制,专科
,广东省揭阳市普宁市,签劳动合同形式就业,乐沣轩军创（广州）体育有限公司,广东省广州市白云区,广东省广州市白云区,前台,办事人员和有关人员,4500.0,2021-07-12,不匹配,艺术设计学院,艺术设计-2年制,专科
,广东省广州市海珠区,签劳动合同形式就业,广州市荔湾区纪念映象文化传播工作室,广东省广州市荔湾区,广东省广州市荔湾区,摄像师,其他人员,3000.0,2021-03-15,匹配,信息学院,数字媒体应用技术-2年制,专科
,广东省广州市荔湾区,签劳动合同形式就业,广州市荔湾区学腾幼儿园,广东省广州市荔湾区,广东省广州市荔湾区,幼儿园配班,教学人员,4100.0,2021-07-05,匹配,学前教育学院,学前教育-2年制,专科
,广东省河源市东源县,签劳动合同形式就业,滴滴出行科技有限公司,广东省佛山市顺德区,广东省佛山市顺德区,私服管理,其他专业技术人员,4000.0,2021-08-25,不匹配,信息学院,数字媒体应用技术（游戏动画）,专科
,广东省湛江市吴川市,签劳动合同形式就业,广州市军区政治部幼儿园,广东省广州市越秀区,广东省广州市越秀区,广州市军区政治部幼儿园,教学人员,2100.0,2021-01-19,匹配,学前教育学院,学前教育-2年制,专科
,广东省佛山市顺德区,签劳动合同形式就业,广东粤曦广告有限公司,广东省佛山市顺德区,广东省佛山市顺德区,文员兼平面设计,其他人员,3500.0,2021-04-09,比较匹配,信息学院,数字媒体应用技术-2年制,专科
,广东省广州市天河区,其他录用形式就业,广州微杰电子科技有限公司,广东省广州市天河区,广东省广州市天河区,外贸业务员,商业和服务业人员,3000.0,2021-03-08,匹配,外语外贸学院,商务英语,专科
,广东省肇庆市鼎湖区,签就业协议形式就业,广州市海珠区贝乐尔家庭服务中心,广东省广州市海珠区,广东省广州市海珠区,教师,教学人员,3000.0,2021-03-01,匹配,学前教育学院,学前教育-2年制,专科
,广东省汕头市潮阳区,其他录用形式就业,广州红乔舞蹈艺术有限公司,广东省广州市天河区,广东省广州市天河区,舞蹈教师,教学人员,3000.0,2021-09-02,不匹配,艺术教育学院,舞蹈教育-5年制,专科
,广东省广州市越秀区,境内升学,广州华商学院,广东省广州市增城区,广东省广州市增城区,电子商务,其他人员,,2021-09-01,,外语外贸学院,商务英语,专科
,四川省乐山市五通桥区,其他录用形式就业,广州市白云中学附属小学,广东省广州市白云区,广东省广州市白云区,音乐教师,教学人员,4300.0,2021-03-03,很匹配,艺术教育学院,音乐教育-5年制,专科
,广东省汕尾市陆丰市,签就业协议形式就业,广州市越秀区广盈食品经营部,广东省广州市越秀区,广东省广州市越秀区,跟单员,其他人员,4000.0,2021-02-19,一般匹配,外语外贸学院,商务英语,专科
